date,username,tweet
Sat Jul 15 01:26:14 +0000 2023,parlinburman84,@FebyPurnama @sabai_aluih1 Kerja nyari makan lupa makan  Rajin menolak RUU kesehatan Ga jaga kesehatan kek mana itu uni
Sat Jul 15 00:49:43 +0000 2023,zvastika,"@AhmadAr34758311 @HansjayaHans @BennyHarmanID @PDemokrat IDI organisasi dokter sj tdk mendukung RUU kesehatan, justru soekarno itu dulu katanya pernah memimpin romusha😇"
Sat Jul 15 00:31:43 +0000 2023,OposisiCerdas,PKS Beberkan Alasan Penolakan Terhadap RUU Kesehatan https://t.co/VnyOck2btP
Sat Jul 15 00:15:35 +0000 2023,gtobing2903,"@PBIDI pagi saya buka tweets  Izin Sy tanggapi d dunia RUU kesehatan setlh sy baca salinan y trnyt ga sekelam tu kok ,hanya di pelintir Krn sertifikat str dan tenaga medis bukan dr keprofesian tpi dr lembaga Kemenkes dan Kemendikbud ?? Dr dl IDI no respek bagi gua 🙏 https://t.co/HVJ1NUymQJ"
Sat Jul 15 00:03:57 +0000 2023,Godam062,"@drpriono1 @jokowi @BudiGSadikin Oh, jadi dokter Priono yang jadi rujukan ruu kesehatan ?"
Fri Jul 14 23:25:06 +0000 2023,Alamalika,"Pelan tapi pasti, negeri ini dicaplok China seperti dinarasikan video ini. Selain melalui hutang infrastruktur, dg OBOR dan Turn Key Projects, kini melalui tenaga kesehatan yg bahkan sebelum RUU kesehatan dibahas sdh jauh2 hr para nakes China didatangkan ke pelosok2 Indonesia"
Fri Jul 14 23:18:42 +0000 2023,DokFun,Ya beginilah kualitas mereka yg baru saja mengesahkan RUU Kesehatan yg ngebut seperti Ferari sementara RUU Perampasan Aset dibiarkan berjalan seperti siput heuheuheu
Fri Jul 14 23:17:53 +0000 2023,Yahyanovita1,@incitu Melawan trio ubur- ubur saja kalian keok padahal jumlah besar dan tidak ada rakyat yang mendukung kalian nakes buktinya komentar rakyat pro RUU kesehatan dan itu artinya kalian tidak mendapatkan kepercayaan dari rakyat . Bahkan op besar berhasil di bubarkan secara politik 😃
Fri Jul 14 22:54:38 +0000 2023,RicKY_KCh,"Sulit diterima akal sehat, saat ekonomi tertekan Pandemi, Alokasi  APBN untuk Infrastruktur justru lebih besar dibanding Anggaran Kesehatan. Seolah Proyek Infrasruktur diUtamakan, sedangkan nasib rakyat  diabaikan.  #DemokratProPerubahan #RUUKesehatan https://t.co/3NOp2VvnDt"
Fri Jul 14 22:22:22 +0000 2023,FR33D0ML4ND2_,"DPR-Dewan Pembantai Rakyat.  DPR-RI yg dipimpin Puan Maharani mengaku sebagai cucu Proklamator Sukarno, begitu heroik dan patriotik membela kepentingan Rezim PKI &amp  Oligarki. Mengesahkan RUU kesehatan tanpa hati nurani. #RakyatCabutMandatJokowi  #RakyatCabutMandatJokowi"
Fri Jul 14 22:20:34 +0000 2023,AscMalike,@never_alonely 😇😇😇😇😇😇 bagian kalian adalah menertawakan kami yg menangis karna disahkannya RUU kesehatan ini
Fri Jul 14 22:00:05 +0000 2023,TriziMeka,"Bagian 3/5] Health for All, Urgensi Politik Kesehatan Islam (Catatan bagi Agenda Transformasi dan RUU Kesehatan)  https://t.co/4YyOevhNCy"
Fri Jul 14 21:59:34 +0000 2023,TriziMeka,"Bagian 2/5] Health for All, Urgensi Politik Kesehatan Islam (Catatan bagi Agenda Transformasi dan RUU Kesehatan)  https://t.co/g1HRQRzhYY"
Fri Jul 14 21:58:44 +0000 2023,TriziMeka,"Bagian 1/5] Health for All, Urgensi Politik Kesehatan Islam (Catatan bagi Agenda Transformasi dan RUU Kesehatan)  https://t.co/jn9vZZcbnZ"
Fri Jul 14 21:50:24 +0000 2023,Yahyanovita1,@incitu Jadi yang kalian takuti sebagai nakes adalah ketidak jelasan nasib setelah di sahkan RUU kesehatan Kalian tidak takut jika negara ini akan bangkrut seperti Venezuela Kalian yakin ekonomi negara ini baik- baik saja Malahan kami perhitungkan dalam hitungan bulan krismon terjadi
Fri Jul 14 21:28:51 +0000 2023,barret_blue,"Siap-siap...RUU Omnibus law kesehatan sudah lolos jadi Undang-undang. Semua capres dan pejabat lainnya tidak ada yang berani lawan dan tolak UU ini, Tidak ada lagi HAM dan Demokrasi, dunia dibawah 1 pemerintahan (New World Order/Satanic) via United Nations /PBB. https://t.co/gjtHlbiVGj"
Fri Jul 14 21:26:16 +0000 2023,PKSCibitung,@JazuliJuwaini Tolak RUU Kesehatan #OrenKeren8
Fri Jul 14 21:10:34 +0000 2023,AhmadAr34758311,@HansjayaHans @BennyHarmanID @PDemokrat Demokrat dan PKS juga yg tidak setuju dengan RUU Kesehatan... Gx tau mereka dukung rakyat atau siapa
Fri Jul 14 20:05:18 +0000 2023,MDH__SNA,"DPR sahkan RUU KESEHATAN menjadi Undang - undang   Keselamatan Rakyat jadi barang dagangan pencetak uang Oligarki  Rakyat diperdaya, Dipaksa Tidur saat Begal datang bertamu, di jam 2 sunyi   Bicara versi upgrade kotak suara tetap pakai kotak kardus di pemilu Dua Kosong Dua Empat https://t.co/PnwnW1QRfX"
Fri Jul 14 19:44:17 +0000 2023,AzamJavas,@HidayatNatari Gila ya DPR pemerintah sama gilanya bener pada memperkaya dirinya sendiri utang ugal-ugalan....pantes suruh di lengserkan DPR adem ayem malah mutuskan RUU kesehatan....setan semua....iblis...!!!
Fri Jul 14 19:14:42 +0000 2023,DrEvaChaniago,"Kritisi Pengesahan RUU Kesehatan, Pengamat Kebijakan Publik:  Sistem Kesehatan Nasional Rawan Dibajak Pemilik Modal  https://t.co/oKU9LU9ljA, Jakarta - Pengamat kebijakan publik dari UPN Veteran Jakarta Achmad Nur Hidayat menilai pengesahan RUU Kesehatan menjadi UU Kesehatan…"
Fri Jul 14 18:46:31 +0000 2023,terangxgelap,"@Nurulkjo1 taukah kalian?  RUU kesehatan tentang hak,kewajiban dan larangan Disitu tertulis yang artinya jika terjadi wabah semua orang tdk boleh menolak divaksin(1,2,3,4,5..) divaksin berkali-kali""  (apabila vaksin berkali-kali bagian penanggulangan wabah yg diputuskan pejabat pemerintah)"""
Fri Jul 14 14:21:33 +0000 2023,JazuliJuwaini,Jazuli Juwaini Beber Alasan Fraksi PKS Menolak RUU Kesehatan https://t.co/FXayG1wCDn
Fri Jul 14 14:19:42 +0000 2023,JazuliJuwaini,Fraksi PKS Tolak RUU Kesehatan Karena Tidak Berpihak Pada Rakyat! - Harian Terbit https://t.co/QjJqTu8Y8S
Fri Jul 14 14:18:54 +0000 2023,JazuliJuwaini,"Fraksi PKS DPR RI Beberkan Empat Alasan Tolak RUU Kesehatan, Tak Berpihak Rakyat - https://t.co/aHNjHlYglT. https://t.co/KoE1PmLTjM"
Fri Jul 14 14:16:29 +0000 2023,G0P4NK_G0P4NG_7,@MasUchiha_ @BPJSKesehatanRI @KemenkesRI Selamat Menikmati Rakyat Indonesia Atas Disahkannya RUU Kesehatan Menjadi UU Kesehatan‼👏👏👏👏
Fri Jul 14 14:13:51 +0000 2023,nanodpu,Pokok permasalahn RUU kesehatan ini sebenernya dipangkas oleh beberapa masyarakat dan akhirnya menyalahkan dan meng highlight masalah ‘IDI’ saja. Akhirnya permasalahan yg lebih besar tertutupi.
Fri Jul 14 14:13:18 +0000 2023,Hasbil_Lbs,"Mas ketum @AgusYudhoyono menjawab beberapa pertanyaan wartawan yang hadir di taman politik DPP @PDemokrat malam ini setelah pidato politik AHY.   Salah satunya terkait RUU Kesehatan, Demokrat menolak, poin utamanya dihapuskannya mandatory spending di RUU Kesehatan. https://t.co/0HeYBvdYKl"
Fri Jul 14 14:11:50 +0000 2023,wahyuhe6266,"Logo partai oren, parati yg menolak RUU kesehatan #OrenKeren8 https://t.co/9BwAPK7q3r"
Fri Jul 14 14:11:16 +0000 2023,flveea,"Dari 2019 Orang-orang udah pada demo mulai dari RUU KPK, RKUHP, RUU Cilaka, sekarang RUU Kesehatan ga ada didengerin. Konflik agraria, korban bencana alam karena pengelolaan alam amburadul dimana-mana ga ada yang dipeduliin."
Fri Jul 14 14:06:04 +0000 2023,Penjagajokowi1,"“Kita harapkan kekurangan dokter bisa lebih dipercepat, kekurangan spesialis bisa dipercepat, saya kira arahnya ke sana,” ucapnya.  Untuk diketahui, keputusan pengesahan RUU Kesehatan akan dibahas dalam rapat paripurna yang digelar di DPR RI pada siang ini, Selasa, 11 Juli 2023. https://t.co/b9gVvIPr7S"
Fri Jul 14 14:04:24 +0000 2023,Penjagajokowi1,Presiden Joko Widodo berharap Rancangan Undang-Undang (RUU) tentang Kesehatan nantinya dapat memperbaiki reformasi bidang pelayanan kesehatan di Tanah Air. @jokowi https://t.co/pOGu4bNHuu
Fri Jul 14 14:01:05 +0000 2023,AgusSug73163688,#Batalksn RUU kesehatan OBL ttps://twitter.com/DrEvaChaniago/status/1679828887658790912?t=r-hoSV6mEZO4BEkPkQClqQ&amp s=09 https://t.co/ilZwjN4Y0F
Fri Jul 14 13:52:59 +0000 2023,MasUchiha_,"Lalu dipasal 23 ayat 2 di RUU kesehatan itu menyatakan BPJS wajib menerima kerjasama dgn faskes swasta yang sudah berizin, artinya BPJS tidak bisa negosiasi dgn swasta dan diwajibkan menerima. Bahkan jika ada RS yang fraud, BPJS tidak bisa bertindak krn adany Pasal ini. https://t.co/hy0Zcy5irs"
Fri Jul 14 13:52:56 +0000 2023,MasUchiha_,"Pada pasal 425 RUU Kesehatan menyatakan BPJS bertanggung jawab kpd Presiden melalui Menteri. Ini menjadi celah yang memungkinkan adanya intervensi dari Kemenkes terkait regulasi, iuran dll kpd sistem BPJS Kesehatan. Lalu dikhawatirkan juga BPJS tidak dapat independen sbg Badan. https://t.co/9c2EVJwIiO"
Fri Jul 14 13:52:53 +0000 2023,MasUchiha_,"Sengkarut penolakan RUU Kesehatan mungkin tidak seramai Penolakan UU Ciptaker. Namun dampaknya juga cukup banyak, seperti pelemahan organisasi profesi juga penghapusan mandatory spending, bahkan sampai mengubah pasal yg berkaitan dgn BPJS Kesehatan. https://t.co/6ZLHqxkpdr"
Fri Jul 14 13:52:50 +0000 2023,MasUchiha_,"UU KESEHATAN SAH DAN NASIB BPJS KESEHATAN. . Diluar pusaran tren Pak Anies, Begal, Andara dan Aldebaran. Saya rasa perlu kita ketahui bagaimana nasib BPJS Kesehatan setelah riuh kemarin RUU Kesehatan akhirnya disahkan, cekidot. https://t.co/JHLUMQgu8c"
Fri Jul 14 13:45:36 +0000 2023,kumparan,"RUU Kesehatan Omnibus Law telah disahkan menjadi Undang Undang dalam rapat paripurna DPR, Selasa (11/7). Keputusan ini bikin saham emiten rumah sakit menguat. #bisnisupdate #update #bisnis #carousel https://t.co/wb94SQguCx"
Fri Jul 14 13:44:15 +0000 2023,bumperorange,"@Outstandjing Karena sampai sekarang naskah RUU Kesehatan belum ada, maka saya menyatakan menolak RUU Kesehatan untuk disahkan menjadi undang-undang!! #TOLAKRUUKES #RUUKesehatanYangMematikan"
Fri Jul 14 13:40:19 +0000 2023,PhilosophersWis,@yupiieecandyy @Outstandjing @DPR_RI @Kemenkes_RI @BudiGSadikin Lagi kejar2an sama periode Jokowi.. jangan sampe sudah berakhir dan RUU ini gagal lolos dan tidak ada perbaikan dalam kualitas kesehatan di Indonesia.
Fri Jul 14 13:37:38 +0000 2023,yupiieecandyy,"@Outstandjing RUU Kesehatan yang bentuknya omnibus law, harusnya dibahas secara mendetail dan sangat teliti. Tapi ini sat set sat set banget banget. Lagi kejar-kejaran sama siapa si @dpr_ri, @kemenkes_ri @budigsadikin? #TolakRUUKes"
Fri Jul 14 13:37:20 +0000 2023,pkstaposdepok,4 Alasan PKS menolak pengesahan RUU Kesehatan.  #PKSpembelaRakyat https://t.co/qTcTlNJRaL
Fri Jul 14 13:35:42 +0000 2023,SSasongkodjatie,"[FULL] Kontroversi RUU Kesehatan, Menkes Anti IDI? | ROSI https://t.co/d5aRi2ilwz lewat @YouTube"
Fri Jul 14 13:33:00 +0000 2023,AdolfElvis,"AHY Ungkap Alasan Demokrat Tolak RUU Kesehatan, Sangat Persisi Seperti pengesahan UU Cipta Kerja  #PidatoPolitikAHY Demokrat Perubahan Perbaikan https://t.co/qOznXGu245"
Fri Jul 14 13:30:20 +0000 2023,tilehopper,"🔴LIVE NOW BAHAS HOLLYWOOD MOGOK, RUU KESEHATAN, KEPUTUSAN XBOX-ACTIVISION, NEMBAK MATI BEGAL, BUDAYA ANEH DOKTER ANESTESI DAN MASIH BANYAK LAGI  https://t.co/umAGdFJT9Q"
Fri Jul 14 13:22:42 +0000 2023,volkno_choi,"Ya Tuhan, berharap banget hati, mata dan telinga @dpr_ri, @puanmaharani_ri @kemenkes_ri @budigsadikin @jokowi bisa kebuka dan gak jadi ngesahin #RUUKesehatan hari ini atau minggu ini. Isinya itu lho, banyak bgt yg ngga bisa diterima. #TolakRUUKesehatan @KemenkesRI"
Fri Jul 14 13:17:30 +0000 2023,NgawiDemokrat,"HY Ungkap Alasan Demokrat Tolak RUU Kesehatan, Sangat Persisi Seperti pengesahan UU Cipta Kerja  #PidatoPolitikAHY Demokrat Perubahan Perbaikan https://t.co/IzF6HYHi9Q"
Fri Jul 14 13:16:58 +0000 2023,NgawiDemokrat,"AHY Ungkap Alasan Demokrat Tolak RUU Kesehatan, Sangat Persisi Seperti pengesahan UU Cipta Kerja  #PidatoPolitikAHY Demokrat Perubahan Perbaikan https://t.co/IzF6HYHi9Q"
Fri Jul 14 13:04:54 +0000 2023,Demokrat_TV,"Demokrat Tolak Pengesahan RUU Kesehatan, AHY: Ada Indikasi Liberalisasi Tenaga Kesehatan/Medis Asing.  #PidatoPolitikAHY Demokrat Perubahan Perbaikan https://t.co/eIekKZXHFi"
Fri Jul 14 13:04:09 +0000 2023,del_paijo,"Kadernya Cantik, sayang kebijakan Partainya ga Cantik ke Rakyat, malah mendukung UU yg kontroversial, mulai dri UU Ciptaker, UU IKN, terbaru RUU Kesehatan. Jgn dilaporin lho pak, ane cuma rakyat yg ingin brpendapat. 😅"
Fri Jul 14 13:03:28 +0000 2023,macanutara_,"Demokrat Tolak Pengesahan RUU Kesehatan, AHY: Ada Indikasi Liberalisasi Tenaga Kesehatan/Medis Asing.  #PidatoPolitikAHY Demokrat Perubahan Perbaikan https://t.co/5aQcU7pMi0"
Fri Jul 14 12:46:29 +0000 2023,prohealthid,"UU KESEHATAN: Susul Organisasi Profesi, Koalisi Pengendalian Zat Adiktif Gelar Demo di Kemenkes https://t.co/U05DlKFrmA   Aksi dari Koalisi Pengendalian Tembakau beberapa  @iyctc_id @KomnasPT @YLKI_ID @forumwarga_id gugat #RUUKesehatanMematikan #RUUKesehatan"
Fri Jul 14 12:33:54 +0000 2023,KunNadzir,@tanyakanrl mbahas RUU kesehatan ae
Fri Jul 14 12:21:19 +0000 2023,adri_7i,"Hanya ada 2 fraksi yg menolak RUU kesehatan menjad UU, yaitu, @PDemokrat @PKSejahtera, itu artinya @DPR_RI Sudah benar. RUU perampasan aset, gimna tuh, yang udah bertumpuk di meja #SahkanRUUPerampasanAset https://t.co/YjziF7jrv9"
Fri Jul 14 12:19:50 +0000 2023,Abah669,"@Hasbil_Lbs Sekali lagi saya ga ngerti soal RUU ini, tapi apabila ini akan menjadikan biaya kesehatan menjadi murah, mafia obat hilang...yah Alhamdulillah."
Fri Jul 14 12:15:43 +0000 2023,surodilagan,"@jawapos @PBIDI Sikap politik @pbidi juga hrs logis. Dukung semua pihak yg ikut perjuangkan penolakan RUU kesehatan termasuk partai politik. Jangan ingin aspirasinya diakomodir tp pilihnya parpol yg dukung pengesahan UU SetaN (kesehatan nasional). Ini bkn berpolitik, tp pilihan rasional."
Fri Jul 14 12:08:27 +0000 2023,wwingko,KANGEN DOGYUSSSSS KAK BUTUH ASUPAN COGIL — lg pusing dia huru hara ruu kesehatan udh disahin https://t.co/Hq0jnKWsKI
Fri Jul 14 12:02:23 +0000 2023,prohealthid,"PB IDI Bikin Junior Doctors Network Indonesia, Ini Ketuanya https://t.co/Ts2qjDUygI   @PBIDI umumkan Ketua baru JDN Indonesia nih #DokterMuda #JuniorDoctors #RUUKesehatan"
Fri Jul 14 11:58:11 +0000 2023,Ndoro68295960,@Ronym96650835 @StopPlandemit @Bataviase77 Lah wanita kafir pemfitnah ulama muslim ini kan  cuma mau nanggok..isu RUU kesehatan mau dibawa ke agenda hoax vaksin yg slama ini dia sebarin...masih juga lu percaya ama kafir pemfitnah ini??? Buih banget lu sbagai muslim.. https://t.co/GNRVhANd8D
Fri Jul 14 11:42:18 +0000 2023,DtkMhsiswaHukum,📖 Follow @detikmahasiswahukum dan jangan lupa nyalain belnya.  📖Tag dan share ke teman kamu. 📖 Punya pertanyaan dan saran seputar hukum? DM.  Terimakasih.  #detikmahasiswahukum #RUUKesehatan #UndangUndang #OmnibusLaw #BelajarHukum #hukumnasional
Fri Jul 14 11:42:04 +0000 2023,DtkMhsiswaHukum,Halo Sobat Justitia!   Pengesahan RUU Kesehatan Omnibus Law terus menuai polemik dan penolakan khususnya dari profesi kesehatan.   Ada beberapa pasal yang menjadi alasan bagi penolakan RUU ini. Yuk simak infografis di atas!  📌 Tunggu tulisan kecil selanjutnya ya! https://t.co/AjYUHwoCot
Fri Jul 14 11:26:37 +0000 2023,p4piKRiS,@detikcom Mumpung lagi HOT dan rame Omnibus RUU Kesehatan... kbtulan ada stetmen Septian yg pas utk gambarin kondisi kesempatan kerja di +62👇🏼😅 https://t.co/qplUk4l2vC
Fri Jul 14 11:25:28 +0000 2023,AikHoki,@iwanfals haters aja bisa dipanggil jadi tim perumus #RUUKesehatan ..enak jadi haters malah sering dapat job dari bapak 😁
Fri Jul 14 11:21:59 +0000 2023,abdulbf,Di Farmasi ada organisasi sering kritik OP dan dukung RUU Kesehatan OBL. Termasuk kritik harga seminar yang diadakan OP. Semoga berani kritik ini juga 😂
Fri Jul 14 11:19:18 +0000 2023,KeshaMei,RUU Kesehatan ini bagus bgt ya
Fri Jul 14 11:06:54 +0000 2023,Nurulkjo1,🤔apa ini ya hasil RUU KESEHATAN ? https://t.co/Y71tC2sflu
