date,username,tweet_stem,score lexicon,sentiment lexicon,sentiment ML
2023-07-14 14:11:16+00:00,flveea,orangorang demo ruu kpk rkuhp ruu cilaka ruu sehat didengerin konflik agraria korban bencana alam kelola alam amburadul dimanamana dipeduliin,-12,negative,negative
2023-07-14 14:06:04+00:00,Penjagajokowi1,harap kurang dokter cepat kurang spesialis cepat arah putus kesah ruu sehat bahas rapat paripurna gelar dpr ri siang selasa juli,1,positive,positive
2023-07-14 14:04:24+00:00,Penjagajokowi1,presiden joko widodo harap rancang undangundang ruu sehat baik reformasi bidang layan sehat tanah air,10,positive,positive
2023-07-14 14:01:05+00:00,AgusSug73163688,batalksn ruu sehat obl ttpstwittercomdrevachaniagostatustrhosvmezobekpkqclqqamp s,3,positive,positive
2023-07-14 13:52:59+00:00,MasUchiha_,pasal ayat ruu sehat bpjs wajib terima kerjasama faskes swasta izin bpjs negosiasi swasta wajib terima rs fraud bpjs tindak adany pasal,-8,negative,negative
2023-07-14 13:52:56+00:00,MasUchiha_,pasal ruu sehat bpjs tanggung kpd presiden menteri celah intervensi kemenkes kait regulasi iur kpd sistem bpjs sehat khawatir bpjs independen sbg badan,-10,negative,positive
2023-07-14 13:52:53+00:00,MasUchiha_,sengkarut tolak ruu sehat serama tolak uu ciptaker dampak lemah organisasi profesi hapus mandatory spending ubah pasal kait bpjs sehat,-7,negative,negative
2023-07-14 13:52:50+00:00,MasUchiha_,uu sehat sah nasib bpjs sehat luar pusar tren anies begal andara aldebaran tahu nasib bpjs sehat riuh kemarin ruu sehat sah cekidot,5,positive,positive
2023-07-14 13:45:36+00:00,kumparan,ruu sehat omnibus law sah undang undang rapat paripurna dpr selasa putus saham emiten rumah sakit kuat bisnisupdate update bisnis carousel,4,positive,negative
2023-07-14 13:44:15+00:00,bumperorange,naskah ruu sehat tolak ruu sehat sah undangundang tolakruukes ruukesehatanyangmematikan,2,positive,positive
2023-07-14 13:40:19+00:00,PhilosophersWis,kejar periode jokowi ruu gagal lolos baik kualitas sehat indonesia,-2,negative,negative
2023-07-14 13:37:38+00:00,yupiieecandyy,ruu sehat bentuk omnibus law bahas detail teliti sat set sat set kejarkejaran si tolakruukes,11,positive,positive
2023-07-14 13:37:20+00:00,pkstaposdepok,alas pks tolak kesah ruu sehat pkspembelarakyat,1,positive,positive
2023-07-14 13:35:42+00:00,SSasongkodjatie,full kontroversi ruu sehat menkes anti idi ros,-3,negative,negative
2023-07-14 13:33:00+00:00,AdolfElvis,ahy alas demokrat tolak ruu sehat persisi kesah uu cipta kerja pidatopolitikahy demokrat ubah baik,5,positive,positive
2023-07-14 13:30:20+00:00,tilehopper,live now bahas hollywood mogok ruu sehat putus xboxactivision nembak mati begal budaya aneh dokter anestesi,-5,negative,negative
2023-07-14 13:22:42+00:00,volkno_choi,tuhan harap hati mata telinga buka ngesahin ruukesehatan minggu isi lho terima tolakruukesehatan,0,negative,negative
2023-07-14 13:17:30+00:00,NgawiDemokrat,hy alas demokrat tolak ruu sehat persisi kesah uu cipta kerja pidatopolitikahy demokrat ubah baik,6,positive,positive
2023-07-14 13:16:58+00:00,NgawiDemokrat,ahy alas demokrat tolak ruu sehat persisi kesah uu cipta kerja pidatopolitikahy demokrat ubah baik,5,positive,positive
2023-07-14 13:04:54+00:00,Demokrat_TV,demokrat tolak kesah ruu sehat ahy indikasi liberalisasi tenaga kesehatanmedis asing pidatopolitikahy demokrat ubah baik,6,positive,positive
2023-07-14 13:04:09+00:00,del_paijo,kader cantik sayang bijak partai cantik rakyat dukung uu kontroversial uu ciptaker uu ikn baru ruu sehat jgn dilaporin lho ane rakyat brpendapat,2,positive,negative
2023-07-14 13:03:28+00:00,macanutara_,demokrat tolak kesah ruu sehat ahy indikasi liberalisasi tenaga kesehatanmedis asing pidatopolitikahy demokrat ubah baik,6,positive,positive
2023-07-14 12:46:29+00:00,prohealthid,uu sehat susul organisasi profesi koalisi kendali zat adiktif gelar demo kemenkes aksi koalisi kendali tembakau gugat ruukesehatanmematikan ruukesehatan,0,negative,negative
2023-07-14 12:33:54+00:00,KunNadzir,mbahas ruu sehat ae,3,positive,positive
2023-07-14 12:21:19+00:00,adri_7i,fraksi tolak ruu sehat menjad uu ruu ampas aset gimna tumpuk meja sahkanruuperampasanaset,-8,negative,negative
2023-07-14 12:19:50+00:00,Abah669,ngerti ruu jadi biaya sehat mafia obat hilangyah alhamdulillah,-1,negative,negative
2023-07-14 12:15:43+00:00,surodilagan,sikap politik hrs logis dukung juang tolak ruu sehat partai politik aspirasi diakomodir pilih parpol dukung kesah uu setan sehat nasional bkn politik pilih rasional,3,positive,negative
2023-07-14 12:08:27+00:00,wwingko,kangen dogyusssss butuh asupan cogil pusing huru hara ruu sehat disahin,-6,negative,negative
2023-07-14 12:02:23+00:00,prohealthid,pb idi junior doctors network indonesia ketua umum ketua jdn indonesia doktermuda juniordoctors ruukesehatan,-3,negative,negative
2023-07-14 11:58:11+00:00,Ndoro68295960,wanita kafir fitnah ulama muslim nanggokisu ruu sehat bawa agenda hoax vaksin slama sebarinmasih percaya ama kafir fitnah buih sbagai muslim,-3,negative,negative
2023-07-14 11:42:18+00:00,DtkMhsiswaHukum,follow lupa nyalain bel tag share teman saran putar hukum terimakasih detikmahasiswahukum ruukesehatan undangundang omnibuslaw belajarhukum hukumnasional,2,positive,negative
2023-07-14 11:42:04+00:00,DtkMhsiswaHukum,halo sobat justitia kesah ruu sehat omnibus law tuai polemik tolak profesi sehat pasal alas tolak ruu simak infografis tunggu tulis,-3,negative,negative
2023-07-14 11:26:37+00:00,p4piKRiS,mumpung hot rame omnibus ruu sehat kbtulan stetmen septian pas gambarin kondisi sempat kerja,3,positive,positive
2023-07-14 11:25:28+00:00,AikHoki,haters panggil tim rumus ruukesehatan enak haters job,-14,negative,negative
2023-07-14 11:21:59+00:00,abdulbf,farmasi organisasi kritik dukung ruu sehat obl kritik harga seminar ada moga berani kritik,0,negative,negative
2023-07-14 11:19:18+00:00,KeshaMei,ruu sehat bagus,1,positive,positive
2023-07-14 11:06:54+00:00,Nurulkjo1,hasil ruu sehat,6,positive,positive
2023-07-14 11:01:55+00:00,IdChannel9,idi putus laku mogok nasional surat edar organisasi sebut laku judicial review idi mogoknasional judicialreview ruukesehatan,-2,negative,negative
2023-07-14 10:38:03+00:00,PRFMnews,download ruu sehat sah uu dpr isi atur dalam,3,positive,positive
2023-07-14 10:30:12+00:00,FMB9ID_,jalan rancang undangundang sehat sah dpr benah infografis fmb ruukesehatandisahkan ruukesehatan transformasikesehatan,3,positive,positive
2023-07-14 10:12:18+00:00,asykad,bahas analisis data ajar excel ajar baca jurnal diskusi ruu sehat gizi,4,positive,positive
2023-07-14 10:03:33+00:00,metroonlinentt,nakes sah dpr tuju ruu sehat undangundang isi,-1,negative,negative
2023-07-14 09:57:13+00:00,AlfathMelfas,tenggelam partai dukung ruu sehat,7,positive,positive
2023-07-14 09:47:28+00:00,eryalia,ruu sehat sah,3,positive,positive
2023-07-14 09:40:40+00:00,theluckiestboy,kalah ruu sehat sat set sat set masyarakat duku ruu ampas aset,-4,negative,negative
2023-07-14 09:31:30+00:00,firstindomagz,dewan wakil rakyat dpr sepakat tuju ruu sehat undangundang selasa kemarin lengkap,2,positive,positive
2023-07-14 09:21:02+00:00,AikHoki,ruu sehat acc tho dumbnah eksekusi melipir pura bego ruukesehatan ruukesehatanantikedaulatan ruukesehatandenasionalisasi ruukesehatanantisoekarno,3,positive,positive
2023-07-14 09:00:21+00:00,PKSejahtera,alas krusial pks tolak ruu sehat uu salah satu sentralitas perintah ruu sehat sentralistis tangan perintah mangkas norma strategis mesti muat undangundang,-4,negative,negative
2023-07-14 08:54:34+00:00,KAMID33323658,ruu sehat tolak nakes sesuai citacita merdeka indonesia batal lindung segenap warga negara indonesia,3,positive,negative
2023-07-14 08:44:13+00:00,WuryantoRagil,menang blom sah bombastis program menang parlemen kasih gagas undang undang ruu sehat bentukanya kyk undang undang mo ubah atur bpjs gratis niat gratis layan sehat syarat,17,positive,positive
2023-07-14 08:30:00+00:00,CNNIndonesia,dpr kesah omnibus law ruu sehat uu selasa kesah tuai tolak nakes akademisi sehat infografis cnnindonesia,6,positive,positive
2023-07-14 08:28:31+00:00,zhaqs,ruu sehat kemaren kabar sok naik gaji pns,3,positive,positive
2023-07-14 08:00:44+00:00,AdWid,iya saham silo heal pasca sah ruu sehat markicek,3,positive,positive
2023-07-14 07:52:10+00:00,AikHoki,profesi kelola jaman bahalahahahabego dukung ruukesehatan pasal jamak dokternakes,-2,negative,negative
2023-07-14 07:49:13+00:00,tnozpgc,ruu sehat cakup baik bidang sehat pksbersamanakes tolakruukesehatan,8,positive,positive
2023-07-14 07:47:03+00:00,tnozpgc,hilang mandatory spending ruu sehat mundur pksbersamanakes tolakruukesehatan,2,positive,positive
2023-07-14 07:44:45+00:00,tnozpgc,fraksi pks dpr ri tolak ruu sehat pksbersamanakes tolakruukesehatan,-1,negative,negative
2023-07-14 07:41:42+00:00,blank0429,woiii cepat kabur ajak diskusi ruu sehat cepetan umpetin draftnya batalkanuukesehatan,2,positive,positive
2023-07-14 07:33:47+00:00,Jabar24Jam,kait pengesahaan ruu sehat idi organisasi nakes aju materi uu sehat mk,7,positive,positive
2023-07-14 07:26:54+00:00,IrzantoYunda,jumat ruu sehat ketok palu draft resmi edar rahasia ruu sehat masyarakat negara demokrasi tolakruukesehatan,13,positive,positive
2023-07-14 07:14:29+00:00,WahyuSeptianHS,tegak lurus jokowi ngikutin ruu sehat,5,positive,positive
2023-07-14 07:10:22+00:00,news_wanheart,ruu sehat sah muslim arbi dokter china banjir indonesia pagiii anies tembak bobby israelis lgbt polisi viagra insidious gojo bpjs rivan uu sehat official mv gara gara timezone,-4,negative,negative
2023-07-14 07:05:57+00:00,lutfithe13th,dokter nakes mogok sikap kesah ruu sehat mnempuh judicial review uu harap duduk organisasi profesi tunggal negara maju uk jerman perancis tiga negara tsb dokter demo mogok kerja,-1,negative,negative
2023-07-14 07:05:07+00:00,ahmat_relis,jgn diskusi bun ruu sehat sah uu batal uu mesti duduk gedung dprmpr,-5,negative,negative
2023-07-14 07:00:54+00:00,tribunnews,anggota komisi ix dpr fraksi pan saleh partaonan daulay respons hilang frasa bpjs sehat undangundang uu sehat hapus istilah bpjs sehat tarik perhati lantar draft ruu sehat istilah bpjs tera ld,13,positive,positive
2023-07-14 06:45:02+00:00,Dipoett,ruu sehat wakanda hahahaha kocak emg tikus pd lawak,0,negative,negative
2023-07-14 06:30:00+00:00,Ganjaran_app,keren program keren jga sosok pimpin apresiasi bawah jdi bawah harga motivasi lgi ganjaranapp ganjarpresiden ruukesehatan polisi,3,positive,positive
2023-07-14 06:40:20+00:00,rakcerid,zainal orasi aksi unjuk tolak ruu sehat gedung dpr ri ros tuduh zainal uu sehat orasi zainal advokasi provokasi sebar hoax ros,-3,negative,negative
2023-07-14 06:27:45+00:00,rudi_kadarisman,ketua tolak ruu sehat partaidemokrat demokratsp ahy,-1,negative,negative
2023-07-14 06:14:40+00:00,21_mozza,uukesehatan omnibuslaw pesan oligarki heran tum dewan penghianat rakyat nafsu sah ruukesehatan pikir rakyat bodoh tindak,-4,negative,negative
2023-07-14 06:04:21+00:00,RickyFight,era sby resmi bpjs sehat bpjs ketenagakerjaan luncur program jamin sehat nasional jkn balik banding sah ruu sehat tuai polemik aniesahy rkybanten rickyfightback,6,positive,positive
2023-07-14 06:03:37+00:00,MudiBanten,era sby resmi bpjs sehat bpjs ketenagakerjaan luncur program jamin sehat nasional jkn balik banding sah ruu sehat tuai polemik,6,positive,positive
2023-07-14 06:02:40+00:00,ratnadewi1392,hoax ros segitunya ketua idi maksa tolak ruu sehat sikap ketua idi ruu,-12,negative,negative
2023-07-14 06:00:01+00:00,Ganjaran_app,cobacoba korupsi sikat ganjaranapp ganjarpresiden presiden milu ganjarcapres pilpres ganjaruntukindonesia korupsi pungli jawatengah polisi lgbt ruukesehatan thailand kakashi garagaratimezone,-5,negative,negative
2023-07-14 05:58:26+00:00,DrEvaChaniago,utas sehat perkosa rakyat daya ruu sehat turun layan sehat ancam tahan satu bangsa profesor percaya kuat moral sungguh kuasa kalah akal sehat,18,positive,positive
2023-07-14 05:54:48+00:00,Indopolitika,apresiasi ruu sehat sah uu dpd imm dki jakarta bukti dpr kerja rakyat,2,positive,positive
2023-07-14 05:52:26+00:00,DrEvaChaniago,utas sehat perkosa rakyat daya ruu sehat turun layan sehat ancam tahan satu bangsa profesor percaya kuat moral sungguh kuasa kalah akal sehat,18,positive,positive
2023-07-14 05:41:23+00:00,ZainalM_Prof,diskusi publik kesah uu sehat sakit cabut uu sehat omnibuslaw rapat paripurna dpr ri putus kesah rancang undangundang ruu sehat undangundang uu sehat sidang paripurna dpr ri sidang,0,negative,negative
2023-07-14 05:40:45+00:00,agungsaptaadi,diskusi publik kesah uu sehat sakit cabut uu sehat omnibuslaw rapat paripurna dpr ri putus kesah rancang undangundang ruu sehat undangundang uu sehat sidang paripurna dpr ri sidang,0,negative,negative
2023-07-14 05:39:05+00:00,qhucinq,ruu sehat sah bagus menkes,1,positive,positive
2023-07-14 05:39:03+00:00,EvaSriDiana_Dr,diskusi publik kesah uu sehat sakit cabut uu sehat omnibuslaw rapat paripurna dpr ri putus kesah rancang undangundang ruu sehat undangundang uu sehat sidang paripurna dpr ri sidang,0,negative,negative
2023-07-14 05:36:52+00:00,DrEvaChaniago,diskusi publik kesah uu sehat sakit cabut uu sehat omnibuslaw rapat paripurna dpr ri putus kesah rancang undangundang ruu sehat undangundang uu sehat sidang paripurna dpr ri sidang,0,negative,negative
2023-07-14 05:32:42+00:00,rahma__aini,ruu sehat sederhana birokrasi,1,positive,positive
2023-07-14 05:32:17+00:00,aldibndro,halah biogenetik ruu sehat izin dokter mudah izin praktik dokter biar bnyk dokter daerah,-9,negative,negative
2023-07-14 05:31:04+00:00,ratnawulan941,ruu sehat sederhana birokrasi,1,positive,positive
2023-07-14 05:30:54+00:00,DrEvaChaniago,utas sehat perkosa rakyat daya ruu sehat turun layan sehat ancam tahan satu bangsa profesor percaya kuat moral sungguh kuasa kalah akal sehat,18,positive,positive
2023-07-14 05:29:44+00:00,warta_cirebon,issue al zaitun tutup ruu sehat paham,1,positive,positive
2023-07-14 05:28:21+00:00,FukusimaX,dog attack lepas kandang ruu sehat sah uu akun bodoh bela bobrok organisasi profesi,-1,negative,negative
2023-07-14 05:15:57+00:00,biohazzardouz,bayar kemenkes dpr endorse ruu sehat,1,positive,positive
2023-07-14 05:10:45+00:00,DrEvaChaniago,utas sehat perkosa rakyat daya ruu sehat turun layan sehat ancam tahan satu bangsa profesor percaya kuat moral sungguh kuasa kalah akal sehat,18,positive,positive
2023-07-14 04:59:00+00:00,golkarpedia,kesah ruu sehat melki laka lena regulasi komprehensif bidang sehat airlanggahartarto kuningkeren sayagolkar partaigolkar golkarpedia,8,positive,positive
2023-07-14 04:57:33+00:00,Catatan_ali7,bohong ruu sehat berani tanggung data dna bocor jatuh ketang asing,-13,negative,negative
2023-07-14 04:56:55+00:00,DrEvaChaniago,utas sehat perkosa rakyat daya ruu sehat turun layan sehat ancam tahan satu bangsa profesor percaya kuat moral sungguh kuasa kalah akal sehat,18,positive,positive
2023-07-14 04:43:47+00:00,geloraco,anggota dpr absen kesah ruu sehat rocky gerung tanda serius,-8,negative,negative
2023-07-14 04:33:16+00:00,CMahamutar83253,ahy alas demokrat tolak ruu sehat persisi kesah uu cipta kerja,3,positive,negative
2023-07-14 04:30:00+00:00,Ganjaran_app,laporgub aplikasi jalan cantik program masyarakat keluh direspon maksimal x jam ganjaranapp ganjarpresiden milu pilpres ganjaruntukindonesia jawatengah laporgub ganjarmerakyat ruukesehatan polisi,-3,negative,negative
2023-07-14 04:19:46+00:00,StockreviewI,ruu sehat sah pasar gerak positif saham emiten sektor sehat alami naik signifikan ruu sehat sah ruukesehatan saham sehat silo sido prda stockreviewid website,14,positive,positive
2023-07-14 04:11:45+00:00,iebntrac,prank ojol dapet bonus gojo smtown padang ruu sehat jumat ggmu btsanjing mufc,8,positive,positive
2023-07-14 04:04:29+00:00,Lattov,selamat juang lawan ruu sehat dok tabe,12,positive,positive
2023-07-14 04:03:18+00:00,ecosocrights,dokter dukung ruu sehat pikir mrk menang tarung mrk sdg gali lubang,-1,negative,negative
2023-07-14 03:59:47+00:00,hariini2023,isi ruu sehat tentang nakes,-1,negative,negative
2023-07-14 03:52:34+00:00,PolaPoli_id,yayasan lembaga konsumen indonesia ylki kritik kesah ruu sehat uukesehatan ruukesehatan polapoli polapolitikgayabaru beritaterkini,-3,negative,negative
2023-07-14 03:52:31+00:00,PolaPoli_id,fraksi partai demokrat pks satusatunya tolak kesah ruu sehat proses kesah bijak lepas protes asal organisasi profesi indonesia,1,positive,positive
2023-07-14 03:52:30+00:00,PolaPoli_id,mayoritas fraksi dpr dukung kesah ruu sehat fraksifraksi tuju pdip golkar gerindra pkb ppp pan fraksi nasdem terima kesah catat kait keluar wajib,8,positive,positive
2023-07-14 03:52:27+00:00,PolaPoli_id,polapoli bagibagi berita lanjutgt gedung dpr pda hri organisasi profesi sehat dokter tenaga medis gelar demonstrasi tolak kesah ruu sehat,5,positive,positive
